id,name,issue
9771324,김남희,[연금개혁주도](https://www.seoul.co.kr/news/politics/2025/03/23/20250323500027?wlog_tag3=naver)
9771219,신정훈,[음주운전](https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%A0%95%ED%9B%88#%EB%B2%94%EC%A3%84%EC%A0%84%EB%A0%A5)
9771219,신정훈,"[배임, 불법보조금](https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%A0%95%ED%9B%88#%EB%B2%94%EC%A3%84%EC%A0%84%EB%A0%A5)"
9771219,신정훈,"[건축법위반,상해](https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%A0%95%ED%9B%88#%EB%B2%94%EC%A3%84%EC%A0%84%EB%A0%A5)"
9771215,주철현,[체납1억](https://www.taxwatch.co.kr/article/tax/2024/05/02/0001)
9771007,강훈식,[무면허운전](https://www.chosun.com/site/data/html_dir/2019/12/03/2019120300191.html)
9771007,강훈식,[교특법](https://www.chosun.com/site/data/html_dir/2019/12/03/2019120300191.html)
9771007,강훈식,[공직선거법 위반](https://www.chosun.com/site/data/html_dir/2019/12/03/2019120300191.html)
9771315,고동진,[자녀국적상실](https://www.ilyo.co.kr/?ac=article_view&entry_id=471908)
9771344,김준형,[세자녀 국적이탈](https://www.chosun.com/politics/election2024/2024/04/02/R35IYB4LUZGRRL5QWOTRX5E3QI/)
9771408,이언주,[막말논란](https://namu.wiki/w/%EC%9D%B4%EC%96%B8%EC%A3%BC/%EB%B9%84%ED%8C%90%20%EB%B0%8F%20%EB%85%BC%EB%9E%80)
9771120,김민석,[불법정치자금](https://www.chosun.com/site/data/html_dir/2020/04/10/2020041001034.html)
9771420,인요한,[자녀외국국적](https://www.yonginilbo.com/news/article.html?no=105373)
9771311,강명구,[2025 국민연금법 개정 찬성](https://namu.wiki/w/2025%EB%85%84%20%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EB%B2%95%20%EA%B0%9C%EC%A0%95#s-3.1)
9771316,곽규택,[2025 국민연금법 개정 찬성](https://namu.wiki/w/2025%EB%85%84%20%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EB%B2%95%20%EA%B0%9C%EC%A0%95#s-3.1)
9770679,권성동,[2025 국민연금법 개정 찬성](https://namu.wiki/w/2025%EB%85%84%20%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EB%B2%95%20%EA%B0%9C%EC%A0%95#s-3.1)
9771108,권영세,[2025 국민연금법 개정 찬성](https://namu.wiki/w/2025%EB%85%84%20%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EB%B2%95%20%EA%B0%9C%EC%A0%95#s-3.1)
